Domain,Classification,Company Name,Company Website
everyday.com.kh,ISP,Everyday.com.kh,everyday.com.kh
everymail.net,ISP,Everymail Net,everymail.net
everyone.net,ISP,Everyone.net,everyone.net
boxbg.com,Paid,Everyone.net,everyone.net
hotvoice.com,Paid,eVoice,evoice.com
deskpilot.com,Webmail,Intermedia,exchange.intermedia.net
oumail.ou.edu,Education,University of Oklahoma Information Technology,exchange.ou.edu
excite.co.jp,Webmail,Excite,excite.co.jp
email.excite.com,Webmail,Mindspark Interactive Network,excite.com
excite.com,Webmail,My Excite,excite.com
execulink.com,ISP,Execulink Telecom,execulink.ca
executivemail.co.za,Webmail,Webmail International,executivemail.co.za
exemail.com.au,Webmail,My Exetel,exetel.com.au
expressmail.dk,ISP,VFEmail,expressmail.dk
webmail.externet.hu,ISP,Externet Telecommunications and Internet Services,externet.hu
extranet.hu,ISP,Extranet,extranet.hu
facebook.com,Webmail,Facebook Inc,facebook.com
webmail.facitec.br,Education,Facitec,facitec.br
fairpoint.net,ISP,FairPoint Communications,fairpoint.com
myfairpoint.net,ISP,Fairpoint Communications,fairpoint.com
familysafeweb.net,ISP,Family Safe Web,fanmail.com
go-irish.com,Webmail,FanMail,fanmail.com
alum.com,Webmail,FanMail,fanmail.com
go.cougars.com,Webmail,FanMail,fanmail.com
go.mustangs.com,Webmail,FanMail,fanmail.com
huskies.com,Webmail,FanMail,fanmail.com
rebels.com,Webmail,FanMail,fanmail.com
badgers.com,Webmail,FanMail,fanmail.com
blue.devils.com,Webmail,FanMail,fanmail.com
army.com,Webmail,FanMail,fanmail.com
farmerstel.com,ISP,Farmers Telecommunications Cooperative,farmerstel.com
fastmail.ca,Webmail,Fastmail Canada,fastmail.ca
123mail.org,Paid,FastMail,fastmail.com
cluemail.com,Paid,FastMail,fastmail.com
f-m.fm,Paid,Fastmail,fastmail.com
ftml.net,Paid,FastMail,fastmail.com
mailandftp.com,Paid,FastMail,fastmail.com
mailas.com,Paid,FastMail,fastmail.com
mailbolt.com,Paid,FastMail,fastmail.com
mailc.net,Paid,FastMail,fastmail.com
mailcan.com,Paid,FastMail,fastmail.com
mailforce.net,Paid,FastMail,fastmail.com
mailftp.com,Paid,FastMail,fastmail.com
mailhaven.com,Paid,FastMail,fastmail.com
mailingaddress.org,Paid,FastMail,fastmail.com
mailite.com,Paid,FastMail,fastmail.com
mailmight.com,Paid,FastMail,fastmail.com
mailnew.com,Paid,FastMail,fastmail.com
mailsent.net,Paid,FastMail,fastmail.com
mailservice.ms,Paid,FastMail,fastmail.com
myfastmail.com,Paid,FastMail,fastmail.com
xsmail.com,Paid,FastMail,fastmail.com
yepmail.net,Paid,FastMail,fastmail.com
rushpost.com,Paid,FastMail,fastmail.com
sent.as,Paid,FastMail,fastmail.com
sent.at,Paid,FastMail,fastmail.com
sent.com,Paid,FastMail,fastmail.com
speedpost.net,Paid,FastMail,fastmail.com
speedymail.org,Paid,FastMail,fastmail.com
srbbs.com,Paid,FastMail,fastmail.com
ssl-mail.com,Paid,FastMail,fastmail.com
the-fastest.net,Paid,FastMail,fastmail.com
the-quickest.com,Paid,FastMail,fastmail.com
theinternetemail.com,Paid,FastMail,fastmail.com
mail-central.com,Paid,FastMail,fastmail.com
mail-page.com,Paid,FastMail,fastmail.com
ml1.net,Paid,FastMail,fastmail.com
mm.st,Paid,FastMail,fastmail.com
150mail.com,Paid,FastMail,fastmail.com
150ml.com,Paid,FastMail,fastmail.com
16mail.com,Paid,FastMail,fastmail.com
2-mail.com,Paid,FastMail,fastmail.com
4email.net,Paid,FastMail,fastmail.com
50mail.com,Paid,FastMail,fastmail.com
airpost.net,Paid,FastMail,fastmail.com
allmail.net,Paid,FastMail,fastmail.com
h-mail.us,Paid,FastMail,fastmail.com
hailmail.net,Paid,FastMail,fastmail.com
inoutbox.com,Paid,FastMail,fastmail.com
internet-e-mail.com,Paid,FastMail,fastmail.com
internet-mail.org,Paid,FastMail,fastmail.com
internetemails.net,Paid,FastMail,fastmail.com
internetmailing.net,Paid,FastMail,fastmail.com
letterboxes.org,Paid,FastMail,fastmail.com
mailup.net,Paid,FastMail,fastmail.com
mailworks.org,Paid,FastMail,fastmail.com
elitemail.org,Paid,FastMail,fastmail.com
emailcorner.net,Paid,FastMail,fastmail.com
emailengine.net,Paid,FastMail,fastmail.com
emailengine.org,Paid,FastMail,fastmail.com
emailgroups.net,Paid,FastMail,fastmail.com
emailplus.org,Paid,FastMail,fastmail.com
emailuser.net,Paid,FastMail,fastmail.com
eml.cc,Paid,FastMail,fastmail.com
imap-mail.com,Paid,FastMail,fastmail.com
imap.cc,Paid,FastMail,fastmail.com
imapmail.org,Paid,FastMail,fastmail.com
justemail.net,Paid,FastMail,fastmail.com
mymacmail.com,Paid,FastMail,fastmail.com
operamail.com,Paid,FastMail,fastmail.com
bestmail.us,Paid,FastMail,fastmail.com
fau.edu,Education,Florida Atlantic University,fau.edu
student.fdu.edu,Education,Fairleigh Dickinson University,fdu.edu
ferris.edu,Education,Ferris State University,ferris.edu
ffanet.com,Webmail,FFA.net,ffanet.com
fidnet.com,ISP,Fidelity Communications,fidelitycommunications.com
student.fife.ac.uk,Education,Fife College,fife.ac.uk
findmemail.com,Webmail,Find mE-Mail,findmemail.com
petlover.com,Webmail,PetLovers.Com,forums.petlovers.com
foxmail.com,Webmail,Foxmail,foxmail.com
fpt.edu.vn,Education,FPT University,fpt.edu.vn
free-email-address.com,Webmail,Free Email Address,free-email-address.com
free.fr,ISP,Free,free.fr
imp.free.fr,ISP,Free,free.fr
imp4.free.fr,ISP,Free,free.fr
webmail.aliceadsl.fr,ISP,Free,free.fr
webmail.free.fr,ISP,Free,free.fr
zimbra.aliceadsl.fr,ISP,Free,free.fr
zimbra.free.fr,ISP,Free,free.fr
free.os.pl,Webmail,Bizmedia,free.os.pl
fnwusers.com,Webmail,FreedomNet,freedomnet.com
freemail.aussiemail.com.au,Webmail,Aussiemail,freemail.aussiemail.com.au
freemail.org.mk,Webmail,Freemail,freemail.com.mk
freemail.hu,Webmail,freemail.hu,freemail.hu
free.net.nz,ISP,Freenet,freenet.co.nz
freenet.de,Webmail,Freenet,freenet.de
email.freenet.de,Webmail,freenet.de,freenet.de
freeola.net,ISP,Freeola,freeola.com
8m.com,Paid,United Online,freeservers.com
8m.net,Paid,United Online,freeservers.com
freeyellow.com,Paid,FreeYellow,freeyellow.com
frontier.com,ISP,Frontier Communications,frontier.com
frontiernet.net,ISP,Frontier Communications,frontier.com
ftc-i.net,ISP,"Farmers Telephone Cooperative,",ftc-i.net
fullsail.edu,Education,Full Sail University,fullsail.edu
fusemail.com,Paid,,fusemail.com
mail.gala.net,Webmail,Gala Mail,gala.net
gala.net,Webmail,Gala Net Bce,gala.net
galmail.co.za,Webmail,Webmail.co.za,galmail.co.za
gci.net,ISP,General Communication,gci.com
live.com.com,Webmail,XYZ,gen.xyz
fakeinbox.com,Disposable,GentleSource Disposable E-mail,gentlesource.com
georgetown.edu,Education,Georgetown University,georgetown.edu
georgiasouthern.edu,Education,Georgia Southern University,georgiasouthern.edu
getairmail.com,Disposable,Air Mail,getairmail.com
getmail.no,Webmail,"Telligent Systems,",getmail.no
ggc.edu,Education,Georgia Gwinnett College,ggc.edu
gilbertschool.org,Education,The Gilbert School,gilbertschool.org
gjk.dk,Education,Grønjordskollegiet,gjk.dk
globo.com,Webmail,Globo,globo.com
globomail.com,Webmail,Globo,globo.com
mail.globo.com,Webmail,Globo.com,globo.com
glwb.net,ISP,GLW Broadband,glwb.net
gmail.co.za,ISP,Gsolutions,gmail.co.za
gail.com,Typo,Google,gmail.com
gamil.com,Typo,Google,gmail.com
ggmail.com,Typo,Google,gmail.com
gimail.com,Typo,Google,gmail.com
gmailc.om,Fake,,gmail.com
gmaqil.com,Fake,,gmail.com
gmil.com,Fake,,gmail.com
gmail.como,Webmail,,gmail.com
googlemail.com,Webmail,,gmail.com
gmail.ru,Webmail,Sema.ru,gmail.ru
black-sea.ro,Webmail,Global Media Systems S.A.,gms.lu
gmu.edu,Education,George Mason University,gmu.edu
gmx.at,Webmail,GMX,gmx.at
gmx.fr,Webmail,1&1,gmx.fr
caramail.com,Webmail,1&1,gmx.fr
go.dores.com,Fake,,go.dores.com
go.gamecocks.com,Fake,,go.gamecocks.com
go.huskies.com,Fake,,go.huskies.com
go.longhorns.com,Fake,,go.longhorns.com
okstate.edu,Education,Oklahoma State University,go.okstate.edu
whipmail.com,Webmail,Go1net,go1net.com
zubee.com,Webmail,Go1net,go1net.com
goddess.com,Webmail,GoddessPlace,goddessplace.ning.com
golfemail.com,Webmail,,golfemail.com
webmail.pt,Webmail,Golink,golink.pt
gonuts4free.com,ISP,Gonuts4free,gonuts4free.com
gmai.com,Typo,Google,google.com
gmail.c,Typo,Google,google.com
gmail.ca,Webmail,Google,google.com
gmail.ccom,Typo,Google,google.com
gmail.cm,Typo,Google,google.com
gmail.co,Webmail,Google,google.com
gmail.com,Webmail,Google,google.com
gmail.com.au,Webmail,Google,google.com
gmail.com.br,Webmail,Google,google.com
gmail.comm,Webmail,Google,google.com
gmail.de,Webmail,Google,google.com
gmail.google.com,Webmail,Google,google.com
like.com,Webmail,Google,google.com
mail.google.com,Webmail,Google,google.com
meebo.com,Webmail,Google,google.com
webmail.tostoadv.com,Webmail,Google,google.com
goglemail.com,Fake,,googlemail.com
graduate.org,Fake,GRADUATE.ORG,graduate.org
webmail.green.ch,ISP,green.ch AG,green.ch
grenoble-em.com,Education,Grenoble Ecole de Management,grenoble-em.com
grinnell.edu,Education,Grinnell College,grinnell.edu
student.gsu.edu,Education,Georgia State University,gsu.edu
webmail.datanet.hu,ISP,GTS Hungary,gts.hu
webmail.ipartners.pl,ISP,GTS Poland,gts.pl
grr.la,Webmail,Guerrilla Mail,guerrillamail.com
mail.gvsu.edu,Education,Grand Valley State University,gvsu.edu
gvtc.com,ISP,GVTC,gvtc.com
hallmarkcollege.edu,Education,Hallmark College,hallmarkcollege.edu
harakirimail.com,Webmail,Harakirimail,harakirimail.com
harding.edu,Education,Harding University,harding.edu
hargray.com,ISP,Hargray Communications,hargray.com
hawaii.edu,Education,University of Hawai‘i,hawaii.edu
geling@hawaii.edu,Education,University of Hawaii System,hawaii.edu
hawaiiantel.net,ISP,Hawaiian Telcom,hawaiiantel.net
haywood.edu,Education,Haywood Community College,haywood.edu
hbgsd.k12.pa.us,Education,Harrisburg School District,hbgsd.k12.pa.us
hct.ac.ae,Education,Higher Colleges of Technology,hct.ac.ae
hec.ca,Education,HEC Montreal,hec.ca
highveldmail.co.za,Webmail,Webmail.co.za,highveldmail.co.za
hillsdale.edu,Education,Hillsdale College,hillsdale.edu
hillsgrammar.nsw.edu.au,Education,The Hills Grammar School,hillsgrammar.nsw.edu.au
hispavista.com,Webmail,HispaVista,hispavista.com
hkis.edu.hk,Education,Hong Kong International School,hkis.edu.hk
hmc.edu,Education,The Claremont Colleges,hmc.edu
hol.gr,Webmail,Hellas Online,hol.gr
btopenworld.com,ISP,BT,home.bt.com
logantele.com,ISP,Logan Telephone Cooperative,home.logantele.com
webmail.peoplepc.com,Webmail,"EarthLink,",home.peoplepc.com
post.pl,ISP,home.pl,home.pl
home.ro,Webmail,RCS & RDS,home.ro
homemail.co.za,Webmail,Webmail International,homemail.co.za
hong-kong-1.com,Webmail,hong-kong-1.com,hong-kong-1.com
hongkong.com,Paid,Foresttek Networks Limited,hongkong.com
hope.ac.uk,Education,Liverpool Hope University,hope.ac.uk
horizon.csueastbay.edu,Education,California State University East Bay,horizon.csueastbay.edu
hosanna.net,Webmail,Hosanna Media Corporation,hosanna.net
webmail.hostlocation.com.br,ISP,HostLocation,hostlocation.com.br
mail2go.com,Webmail,"Solinus,",hostmail.com
webmail.hostsys.com.br,ISP,Hostsys,hostsys.com.br
hotbot.com,Webmail,LYCOS,hotbot.com
hotcoolmail.com,Paid,"Everyone.net,",hotcoolmail.com
hotdak.com,Paid,MegriSoft.com,hotdak.com
hotmail.ca,Webmail,Microsoft,hotmail.com
hotmail.co.jp,Webmail,Microsoft,hotmail.com
hotmail.co.uk,Webmail,Microsoft,hotmail.com
hotmail.com.au,Webmail,Microsoft,hotmail.com
hotmail.com.br,Webmail,Microsoft,hotmail.com
hotmail.com.hk,Webmail,Microsoft,hotmail.com
hotmail.de,Webmail,Microsoft,hotmail.com
hotmail.dk,Webmail,Microsoft,hotmail.com
hotmail.es,Webmail,Microsoft,hotmail.com
hotmail.fr,Webmail,Microsoft,hotmail.com
hotmail.gr,Webmail,Microsoft,hotmail.com
hotmail.it,Webmail,Microsoft,hotmail.com
hotmail.msn.com,Webmail,Microsoft,hotmail.com
hotmail.nl,Webmail,Microsoft,hotmail.com
hotmail.no,Webmail,Microsoft,hotmail.com
hotmail.sg,Webmail,Microsoft,hotmail.com
hotmail.sk,Webmail,Microsoft,hotmail.com
hotmal.com,Webmail,Microsoft,hotmail.com
hotmeal.com,Webmail,Microsoft,hotmail.com
hptmail.com,Webmail,Microsoft,hotmail.com
otmail.com,Webmail,Microsoft,hotmail.com
hatmail.com,Fake,,hotmail.com
homail.com,Fake,,hotmail.com
hotmai.com,Fake,,hotmail.com
hotmail.c,Fake,,hotmail.com
hotmail.cm,Fake,,hotmail.com
hotmail.lcom,Fake,,hotmail.com
hotmail.ocm,Fake,,hotmail.com
htomail.org,Fake,,hotmail.com
hotmail.c.in,Fake,,hotmail.in
sloane.com,Paid,Hover,hover.com
starmail.org,Paid,Hover,hover.com
sccoast.net,ISP,Horry Telephone Corporative,htcinc.net
htcnet.net,ISP,Hayneville Telephone Company,htcnet.net
mail3000.com,Webmail,HugeDomains.com,hugedomains.com
human.lv,Education,Cilvēka Garīgās Pilnveidošanās Centrs,human.lv
hush.ai,Paid,Hush Communications,hushmail.com
hush.com,Paid,Hush Communications,hushmail.com
hushmail.com,Paid,Hush Communications,hushmail.com
hws.edu,Education,Hobart and William Smith Colleges,hws.edu
i.ua,Webmail,I.UA,i.ua
iafrica.com,Webmail,iafrica.com,iafrica.com
ibat.ie,Education,IBAT College,ibat.ie
ibest.com.br,ISP,Internet Group,ibest.com.br
icestorm.com,ISP,IceStorm.com,icestorm.com
icloud.com,Webmail,Apple Inc,icloud.com
icloud.net,Webmail,iCloud Network Solution,icloud.net
icould.com,Webmail,icould Ltd,icould.com
go.icq.com,ISP,ICQ,icq.com
icq.com,Webmail,ICQ LLC,icq.com
icqmail.com,Webmail,ICQ LLC,icqmail.com
icsolutions.com,ISP,Centric Group,icsolutions.com
webmail.easynet.ro,ISP,Idilis SRL,idilis.ro
eagles.bridgewater.edu,Education,Bridgewater College,idp.bridgewater.edu
iftelecom.com.au,ISP,IF Telecom,iftelecom.com.au
webmail.ibest.com.br,ISP,Internet Group,ig.com.br
webmail.ig.com.br,ISP,Internet Group,ig.com.br
webmail.igempresas.ig.com.br,ISP,Internet Group,ig.com.br
ig.com.br,ISP,Internet Group,ig.com.br
igalaxy.net,ISP,IG Net INC,igalaxy.net
ignatius.sa.edu.au,Education,St. Ignatius College,ignatius.sa.edu.au
iimu.ac.in,Education,Indian Institute Of Management Udaipur,iimu.ac.in
aapt.net.au,ISP,iiNet,iinet.net.au
froggy.com.au,ISP,iiNet,iinet.net.au
iinet.com.au,ISP,iiNet,iinet.net.au
iinet.net.au,ISP,iiNet,iinet.net.au
ozemail.com.au,ISP,iiNet,iinet.net.au
mail.iinet.net.au,ISP,iiNet,iinet.net.au
iland.net,ISP,I-Land Internet Service,iland.net
ilse.nl,Webmail,Sanoma Media Netherlands group,ilse.nl
imail.ru,Webmail,VimpelCom,imail.ru
imailreader.com,Webmail,BeWide Technologies,imailreader.com
,Webmail,imap.ch,imap.ch
imel.org,Webmail,Imel.org,imel.org
imo.im,Webmail,"PageBites,",imo.im
in.com,Webmail,In.com,in.com
inbox.com,Webmail,Inbox.com,inbox.com
inbox.om,Webmail,Inbox.com,inbox.com
inbox.lv,Webmail,Inbokss SIA,inbox.lv
indamail.hu,Webmail,Inda-Labs,indamail.hu
freestart.hu,Webmail,Indamail,indamail.hu
zmail.com,Webmail,India.Com,india.com
indiana.edu,Education,Indiana University,indiana.edu
myemail.indwes.edu,Education,Indiana Wesleyan University,indwes.edu
inet.com.ua,Webmail,INET,inet.com.ua
infinito.it,Webmail,Infinite,infinito.it
webmail.influxbrasil.com,Education,Influx,influxbrasil.com.br
infoapex.com,Webmail,Infoapex,infoapex.com
webmail.infomaniak.ch,ISP,infomaniak,infomaniak.ch
inicia.es,ISP,Ibercom Telecom S.A.,inicia.es
insead.edu,Education,INSEAD,insead.edu
u.pacific.edu,Education,University of the Pacific,insidepacific.pacific.edu
ieg.com.br,Education,IEG,institutodegestao.com.br
webmail.integrity.hu,ISP,INTEGRITY Kft,integrity.hu
interia.eu,ISP,Interia,interia.pl
interia.pl,ISP,Interia,interia.pl
interlap.com.ar,ISP,InterLAP,interlap.com.ar
mail.internet.lu,Webmail,Luxembourg Online,internet.lu
internet.lu,ISP,Luxembourg Online S.A.,internet.lu
email.internet.lu,ISP,Luxembourg Online SA,internet.lu
internetegypt.com,ISP,Internet Egypt,internetegypt.com
bigmailbox.com,ISP,InternetFuel,internetfuel.com
internode.on.net,ISP,iiNet,internode.on.net
dcsi.net,ISP,Intervista Internet,intervistainternet.com
webmail.iol.pt,Webmail,IOL,iol.pt
iona.qld.edu.au,Education,Iona College,iona.qld.edu.au
ipermitmail.com,Paid,iPermitMail,ipermitmail.com
ipns.com,ISP,Internet Professionals & Network Solutions,ipns.com
iprimus.com.au,ISP,Primus Telecommunications,iprimus.com.au
webmail.iprimus.com.au,ISP,Primus Telecommunications,iprimus.com.au
ipstarmail.com.au,ISP,IPSTAR Australia,ipstaraustralia.com
irangate.net,ISP,Irangate,irangate.net
kuwait.ir,Paid,IRAQ.IR,irq.ir
arab.ir,Webmail,IRQ.IR,irq.ir
ksa.ir,Webmail,IRQ.IR,irq.ir
london.ir,Webmail,IRQ.IR,irq.ir
jpg.ir,Webmail,IRQ.IR,irq.ir
isage.net.au,ISP,iSage Internet,isage.net.au
student.isb.bj.edu.cn,Education,International School of Beijing,isb.bj.edu.cn
iscooler.com,Paid,IsCooler.com,iscooler.com
iscte-iul.pt,Education,ISCTE-IUL,iscte-iul.pt
gateway.net,ISP,AOL,isp.netscape.com
isu.edu,Education,Idaho State University,isu.edu
iol.it,ISP,Italiaonline,italiaonline.it
itctel.com,ISP,Interstate Telecommunications Cooperative,itc-web.com
itchetumal.edu.mx,Education,Instituto Tecnológico de Chetumal,itchetumal.edu.mx
itesm.mx,Education,Instituto Tecnológico y de Estudios Superiores de Monterrey,itesm.mx
majorana.martina-franca.ta.it,Education,"Istituto d'Istruzione Secondaria Superiore ""E.Majorana""",itismajorana.gov.it
umail.iu.edu,Education,Indiana University,iu.edu
iupui.edu,Education,Indiana University,iupui.edu
ius.edu,Education,Indiana University,ius.edu
ivytech.edu,Education,Ivy Tech Community College,ivytech.edu
jabble.com,Webmail,Jabble,jabble.com
jamadots.com,ISP,Jamadots,jamadots.com
jemimi.net,Webmail,Jemimi.net,jemimi.net
jetable.org,Disposable,Jetable.org,jetable.org
jhu.edu,Education,Johns Hopkins University,jhu.edu
jmail.co.za,Webmail,Job Navigator mail,jmail.co.za
jubii.dk,Webmail,Jubii A / S,jubii.dk
webmail.juno.com,ISP,Juno Online Services,juno.com
webmailb.juno.com,ISP,Juno Online Services,juno.com
juno.com,ISP,Juno Online Services,juno.com
ksu.edu,Education,Kansas State University,k-state.edu
kaazoo.com,Webmail,KaaZoo,kaazoo.com
kaixo.com,Webmail,Kaixo.com,kaixo.com
katamail.com,Webmail,Elemedia SPA,kataweb.it
kataweb.it,Webmail,Elemedia SPA,kataweb.it
kayafmmail.co.za,Webmail,Kaya FM,kayafm.co.za
kctcs.edu,Education,Kentucky Community and Technical College System,kctcs.edu
keptprivate.com,Paid,KeptPrivate,keptprivate.com
kidsemail.org,Paid,KidsEmail.org,kidsemail.org
webmail.arquivogospel.com.br,ISP,Kinghost,kinghost.com.br
kings.edu.au,Education,The King's School,kings.edu.au
student.kings.edu.au,Education,The King's School,kings.edu.au
kingscollege.qld.edu.au,Education,King's Christian Education Ltd,kingscollege.qld.edu.au
kinkyemail.com,Webmail,Kinky Email.com,kinkyemail.com
klik.it,Webmail,Klik,klik.it
kmtn.ru,ISP,Kostroma City Telephone Network,kmtn.ru
jubiipost.dk,Webmail,Jubii A / S,konto.jubii.dk
autograf.pl,ISP,Grupa Onet.pl SA,konto.onet.pl
op.pl,Webmail,Onet.pl,konto.onet.pl
poczta.onet.pl,Webmail,Poczta Onet,konto.onet.pl
poczta.wp.pl,Webmail,Poczta Onet,konto.onet.pl
koszmail.pl,Disposable,Koszmail.pl,koszmail.pl
hetnet.nl,Webmail,KPN Today,kpnvandaag.nl
kth.se,Education,KTH Royal Institute of Technology,kth.se
ku.edu,Education,The University of Kansas,ku.edu
ku.edu.tr,Education,Koç University,ku.edu.tr
kuronowish.com,Webmail,Kuronowish,kuronowish.com
lagoon.nc,ISP,Lagoon,lagoon.nc
student.lakemills.k12.wi.us,Education,Lake Mills Area School District,lakemills.k12.wi.us
lancaster.ac.uk,Education,Lancaster University,lancaster.ac.uk
laposte.net,ISP,La Poste Mobile,laposte.fr
lasalle.wa.edu.au,Education,La Salle College,lasalle.wa.edu.au
latinmail.com,Webmail,starMedia,latinmail.com
lau.edu,Education,Lebanese American University,lau.edu.lb
lavacheautomatique.com,Webmail,Lavache,lavacheautomatique.com
law.ac.uk,Education,The University of Law,law.ac.uk
le.ac.uk,Education,University of Leicester,le.ac.uk
bla.com,ISP,Lighthouse Consulting Inc,lhseattle.com
inwind.it,Paid,Libero,libero.it
liberty.edu,Education,Liberty University,liberty.edu
list.ru,Webmail,Mail.Ru,list.ru
live.uk,Webmail,Microsoft,live.co.uk
hotmail.com,Webmail,Microsoft,live.com
live.at,Webmail,Microsoft,live.com
live.be,Webmail,Microsoft,live.com
live.ca,Webmail,Microsoft,live.com
live.cl,Webmail,Microsoft,live.com
live.cn,Webmail,Microsoft,live.com
live.co.kr,Webmail,Microsoft,live.com
live.co.uk,Webmail,Microsoft,live.com
live.co.za,Webmail,Microsoft,live.com
live.com,Webmail,Microsoft,live.com
live.com.au,Webmail,Microsoft,live.com
live.com.mx,Webmail,Microsoft,live.com
live.com.ph,Webmail,Microsoft,live.com
live.com.pk,Webmail,Microsoft,live.com
live.com.pt,Webmail,Microsoft,live.com
live.com.sg,Webmail,Microsoft,live.com
live.de,Webmail,Microsoft,live.com
live.dk,Webmail,Microsoft,live.com
live.fr,Webmail,Microsoft,live.com
live.hk,Webmail,Microsoft,live.com
live.ie,Webmail,Microsoft,live.com
live.in,Webmail,Microsoft,live.com
live.it,Webmail,Microsoft,live.com
live.jp,Webmail,Microsoft,live.com
live.nl,Webmail,Microsoft,live.com
live.no,Webmail,Microsoft,live.com
live.ru,Webmail,Microsoft,live.com
live.se,Webmail,Microsoft,live.com
llive.com,Webmail,Microsoft,live.com
login.live.com,Webmail,Microsoft,live.com
outlook.be,Webmail,Microsoft,live.com
windowslive.com,Webmail,Microsoft,live.com
live.ocm,Fake,,Live.com
hot.ee,Webmail,Elion,live.hot.ee
live.ucl.ac.uk,Education,,live.ucl.ac.uk
livedoor.com,Webmail,LINE Corporation,livedoor.com
student.livoniapublicschools.org,Education,Livonia Public Schools,livoniapublicschools.org
llandudno.com,Webmail,Croeso Network,llandudno.com
llangollen.com,Webmail,Croeso Network,llangollen.com
webmail.localnet.com,ISP,"LocalNet Internet Services,",localnet.com
webmail.localnet.net,ISP,"LocalNet Internet Services,",localnet.com
webmail.rudah.com.br,Webmail,Powerball Internet Services S / A,locaweb.com.br
homtail.co.uk,Webmail,Microsoft,login.live.com
hotmail.ch,Webmail,Microsoft,login.live.com
mts.net,Webmail,Microsoft,login.live.com
live.ndm.edu,Education,,login.microsoftonline.com
uni.canberra.edu.au,Education,,login.microsoftonline.com
uowmail.edu.au,Education,,login.microsoftonline.com
oimail.oi.com.br,Webmail,Hi Mail,login.oiinternet.com.br
bluemail.ch,Webmail,Swisscom AG,login.sso.bluewin.ch
post.cz,Webmail,Seznam.cz,login.szn.cz
ladymail.cz,Webmail,,login.szn.cz
looksmart.com,Webmail,"LookSmart, Ltd.",looksmart.com
louisville.edu,Education,University of Louisville,louisville.edu
loveemail.com,Webmail,LoveEmail.com,loveemail.com
lovemail.co.uk,Paid,"Proofpoint, Inc",lovemail.co.uk
lpemail.com,Webmail,LPeMail,lpemail.com
lsu.edu,Education,Louisiana State University,lsu.edu
ltusd.org,Education,The Lake Tahoe Unified School District,ltusd.org
luukku.com,Webmail,Luukku.com,luukku.com
email.lu,Webmail,Editus Luxembourg SA,luxweb.lu
email.luxweb.com,Webmail,Editus Luxembourg SA,luxweb.lu
mail.lycos.com,Webmail,LYCOS,lycos.com
lycos.com,Webmail,LYCOS,lycos.com
lycosemail.com,Webmail,LYCOS,lycos.com
lycosmail.com,Webmail,LYCOS,lycos.com
caramail.lycos.fr,Webmail,LYCOS,lycos.com
mackillop.vic.edu.au,Education,MacKillop Catholic Regional College,mackillopwerribee.com.au
madcrazy.com,Webmail,MaDCraZy!,madcrazy.com
madwire.com,ISP,Madwire,madwire.com
madwiremedia.com,Webmail,Madwire,madwire.com
madwire-mimiscookies.com,Fake,,madwire.com
madwiredermsolutions.com,Fake,,madwire.com
madwirehalfpricelotion.com,Fake,,madwire.com
magicmail.co.za,Webmail,Webmail International,magicmail.co.za
magik-net.com,ISP,Magik-Net,magik-net.com
mail-on.us,Webmail,VFEmail,mail-on.us
mail-online.dk,Paid,Mail Online,mail-online.dk
weekonline.com,Webmail,Mail-Online,mail-online.email
mail.bg,Webmail,Meyl.BG,mail.bg
buzzlemail.com,Paid,BuzzleMail,mail.buzzle.com
amuro.net,Webmail,1&1,mail.com
activist.com,Webmail,1&1,mail.com
dbzmail.com,Webmail,1&1,mail.com
mail.com,Webmail,1&1,mail.com
keromail.com,Webmail,1&1,mail.com
kittymail.com,Webmail,1&1,mail.com
weirdness.com,Webmail,1&1,mail.com
who.net,Webmail,1&1,mail.com
whoever.com,Webmail,1&1,mail.com
winning.com,Webmail,1&1,mail.com
witty.com,Webmail,1&1,mail.com
workmail.com,Webmail,1&1,mail.com
writeme.com,Webmail,1&1,mail.com
yours.com,Webmail,1&1,mail.com
yyhmail.com,Webmail,1&1,mail.com
accountant.com,Webmail,Mail & Media,mail.com
iname.com,Webmail,Mail & Media,mail.com
inorbit.com,Webmail,Mail & Media,mail.com
instructor.net,Webmail,Mail & Media,mail.com
insurer.com,Webmail,Mail & Media,mail.com
marchmail.com,Webmail,Mail & Media,mail.com
realtyagent.com,Webmail,Mail & Media,mail.com
reborn.com,Webmail,Mail & Media,mail.com
reggaefan.com,Webmail,Mail & Media,mail.com
registerednurses.com,Webmail,Mail & Media,mail.com
religious.com,Webmail,Mail & Media,mail.com
repairman.com,Webmail,Mail & Media,mail.com
representative.com,Webmail,Mail & Media,mail.com
rescueteam.com,Webmail,Mail & Media,mail.com
rocketship.com,Webmail,Mail & Media,mail.com
rockfan.com,Webmail,Mail & Media,mail.com
rome.com,Webmail,Mail & Media,mail.com
royal.net,Webmail,Mail & Media,mail.com
russiamail.com,Webmail,Mail & Media,mail.com
safrica.com,Webmail,Mail & Media,mail.com
saintly.com,Webmail,Mail & Media,mail.com
salesperson.net,Webmail,Mail & Media,mail.com
samerica.com,Webmail,Mail & Media,mail.com
sanfranmail.com,Webmail,Mail & Media,mail.com
scientist.com,Webmail,Mail & Media,mail.com
scotlandmail.com,Webmail,Mail & Media,mail.com
secretary.net,Webmail,Mail & Media,mail.com
seductive.com,Webmail,Mail & Media,mail.com
sister.com,Webmail,Mail & Media,mail.com
